Image,Name,Class,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: DAPI mean,Nucleus: EpCAM_E-Cadherin mean,Nucleus: cCASP3 mean,Cell: Area,Cell: EpCAM_E-Cadherin mean,Cell: cCASP3 mean,Cytoplasm: EpCAM_E-Cadherin mean,Cytoplasm: cCASP3 mean,Nucleus/Cell area ratio
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 01).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,195.67,157.07,16,178.4848,2574.4092,187.0455,74.25,2148.7625,177.5284,2028.1931,174.8326,0.2112
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 01).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,204.1,163.76,86.5,356.043,723.4097,303.7908,193,1353.8955,235.3974,1870.4202,179.3662,0.4446
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 01).tif,cCASP3,cCASP3,149.3,163,37.5,150.6513,228.7697,1715.296,123,178.4413,706.9717,156.0731,258.8275,0.3021
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 01).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,166.75,179.21,71.75,317.0586,510.7379,202.3379,179.75,396.7327,181.9571,320.2014,168.2755,0.396
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 01).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,185.5,183.85,55.25,310.0714,1557.5759,206.9866,155.75,775.168,191.0544,338.1122,182.1546,0.3515
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 01).tif,EpCAM_E-Cadherin: cCASP3,EpCAM_E-Cadherin: cCASP3,196.54,198.06,28.75,374.3932,855.8975,16175.6924,99.75,584.62,9758.5996,472.4664,7105.5972,0.2872
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 01).tif,EpCAM_E-Cadherin: cCASP3,EpCAM_E-Cadherin: cCASP3,189.5,198.25,16.5,286.1029,917.3823,17508.1328,66.25,646.0037,10381.4775,553.735,7958.415,0.2436
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,PathCellObject,,219.84,103.02,51.5,299.9095,288.7619,192.8048,126.75,276.4,181.8255,267.7467,174.14,0.4017
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,PathCellObject,,234.15,103.9,33,480.9173,260.0226,179.3759,115.25,208.2928,169.6833,187.3171,165.7531,0.2804
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,PathCellObject,,211.57,111.35,69.75,254.265,257.2085,314.8975,153.25,245.7488,248.5478,236.0389,192.3293,0.4532
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,194.77,115.85,161,386.2438,337.5047,261.1553,312.25,416.0929,226.1257,499.7471,188.838,0.5136
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,PathCellObject,,224.38,112.68,35.25,197.3056,312.9236,187.4653,98.25,253.1136,177.1061,218.9365,171.1865,0.3548
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,145.42,124.42,99.5,257.5661,480.8254,207.1995,221.25,901.4684,195.6667,1247.8296,186.1704,0.4492
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,154.94,122.38,23,178.8775,835.9796,280.2857,79.75,911.7781,206.3906,945.2387,173.7703,0.2964
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,174.58,129.76,107.25,212.3481,546.0911,183.6986,237.75,502.6034,174.51,467.1505,167.019,0.4457
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,PathCellObject,,218.6,135.07,14.5,171.9531,316.9844,204.7031,63.75,295.5405,243.7799,288.5026,256.6051,0.2355
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,106.31,137.35,22.5,143.5612,1960.4897,188.2347,85.25,2020.5479,177.6319,2044.3765,173.4251,0.277
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin: cCASP3,EpCAM_E-Cadherin: cCASP3,209.39,138.01,33,190.3556,588.6296,5722.4888,105.25,583.407,2949.0752,580.9759,1658.0034,0.3104
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,PathCellObject,,36.21,144.61,90.5,157.4218,295.2821,221.014,228,233.3319,192.5747,193.154,174.1304,0.3895
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,115.77,142.44,56.25,193.8652,2063.0913,268.1348,134.75,1647.0315,215.4685,1338.3419,176.3936,0.4196
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,PathCellObject,,221.36,145.36,69,261.1828,294.1147,242.0323,165.75,287.8722,292.409,283.3601,328.8213,0.4143
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin: cCASP3,EpCAM_E-Cadherin: cCASP3,200.68,146.31,81,325.4329,435.5701,317.5762,188.5,477.1308,501.9577,508.9068,642.9301,0.4318
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin: cCASP3,EpCAM_E-Cadherin: cCASP3,107.53,148.21,25.75,153.215,2620.0188,206.1589,86.5,3343.6182,348.2422,3660.9343,410.5492,0.2898
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,PathCellObject,,130.49,150.36,73.5,146.1313,439.1145,190.7778,200.25,328.3848,179.0834,263.3913,172.2194,0.3662
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,PathCellObject,,20.17,152.31,35.75,176.5734,213.021,177.3636,120.5,175.7614,169.9274,160.0443,166.7906,0.2909
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,87.41,150.69,14.5,177.629,855.0323,185.4194,69.25,1268.5714,179.9678,1386.1835,178.4174,0.1999
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,PathCellObject,,189.42,154.63,75,217.6391,391.1159,183.7848,194.25,314.4543,178.0824,265.7137,174.4568,0.3876
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,PathCellObject,,228.94,154.94,24.5,641.7549,221.402,183.2157,82.25,171.7319,171.1265,149.7043,165.7652,0.2951
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,PathCellObject,,31.55,156.23,10,146.4286,188.3571,384.2381,57.25,162.2112,230.4569,156.4316,196.4632,0.1653
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,88.24,160.82,74,228.3591,673.9161,233.8188,179,899.6425,206.2277,1060.567,186.5574,0.4077
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,PathCellObject,,223.29,160.28,21.75,569.125,256.6932,177.1818,73,207.8503,172.0646,186.9854,169.8786,0.2796
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,30.33,166.03,54.5,228.5636,448.65,272.5364,148.25,411.7538,215.4587,389.9919,181.7936,0.3643
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,113.28,164.41,32.5,184.3383,639.6241,211.1278,102.25,606.8878,217.1512,591.1697,220.0433,0.3229
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,144.78,165.91,59,259.2827,648.6034,242.654,141.75,950.5272,205.9139,1166.0573,179.6868,0.411
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,129.06,167.79,34,172.2662,357.554,199.9353,111.25,467.1278,191.3117,516.7394,187.4072,0.3034
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,81.9,174.49,93.75,163.992,1763.8396,255.9037,219,1650.8397,256.3136,1567.3182,256.6166,0.4256
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,114.21,175.48,79.25,251.2523,394.0156,217.5421,168.75,489.757,204.6583,575.6033,193.1061,0.465
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,149.07,176.19,94.75,295.8447,668.5369,218.6105,188.5,1140.6058,203.2341,1617.6968,187.6942,0.4964
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,129.82,181.98,201.5,218.6543,348.3507,296.8253,340.75,457.5894,256.4377,615.8582,197.9228,0.5911
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,37.86,185.52,68.5,143.363,373.427,384.0107,182.75,448.7135,256.1446,495.5177,176.6526,0.3783
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,159.29,188.44,124.5,249.848,1000.47,227.352,231.5,1213.1744,208.5318,1461.0815,186.5967,0.5387
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,145.58,189.05,39.75,170.0759,1365.7216,196.1899,139.5,1935.7589,199.4286,2159.8035,200.7015,0.278
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,108.77,190.88,48.25,237.9794,500.6186,266.9485,142.75,642.465,213.1766,715.2645,185.5794,0.3303
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,168.84,196.21,61.5,237.688,771.04,245.576,131.25,1383.4622,223.2557,1934.2014,203.1835,0.4649
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,127.74,198,101.5,262.8346,428.4691,287.5086,195.5,615.6624,249.0917,815.1711,208.1474,0.5143
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,115.46,202.47,43.75,210.6035,379.431,246.9023,119,438.2227,208.605,472.096,186.5397,0.3598
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,141.84,206.46,82,294.003,478.1454,205.1121,182.5,881.9644,233.0603,1215.115,256.1175,0.4466
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,169.46,206.52,36.75,298.2467,598.9133,245.3467,90.5,602.6676,214.5962,605.2991,193.0421,0.3956
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,187.83,208.82,87.25,348.5382,746.9037,368.2521,204.25,1178.4437,272.2347,1506.043,199.3441,0.4271
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,105.77,209.99,66.25,195.0824,731.0487,199.7378,159,858.9199,192.9356,951.1946,188.027,0.4136
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,158.68,209.55,75.25,293.6918,621.4197,227.9082,171.25,1129.4586,218.8302,1532.9791,211.6198,0.4376
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,129.22,211.15,68.5,256.1533,332.2336,242.9489,146.5,483.2619,225.0153,615.051,209.3662,0.4616
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,95.08,211.79,42.75,287.0575,1311.7931,215.1897,119.75,1150.501,202.1636,1059.6764,194.8285,0.3518
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,168.51,218.09,31,180.992,336.272,208.256,100.5,353.7649,191.4282,361.6021,183.8889,0.2999
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,118.27,220.46,88.5,354.7352,476.6451,244.9211,202.25,900.7571,219.2651,1230.932,199.2917,0.4336
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,144.92,219.79,54,225.4977,684.8995,270.8448,135.5,775.0512,232.7002,835.2439,207.2317,0.396
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,196.66,220.41,90,257.8705,923.1378,213.0606,184.25,955.8043,196.7436,987.1746,181.0741,0.4822
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,135.01,220.63,19.25,230.6364,750.0649,216.7792,65.25,768.6502,210.3916,776.3441,207.7473,0.2797
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,226.97,224.99,115.75,213.4392,697.3752,206.6525,253.5,680.5368,190.3386,666.1782,176.4273,0.4553
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,244.31,223.71,62.75,278.1429,1004.5992,186.6825,168,934.4407,178.184,892.545,173.109,0.3745
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,182.96,224.63,60.75,222.151,1419.4122,200.4,133.5,1349.5671,189.8769,1290.7629,181.0172,0.4502
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,195.25,231.55,59.75,197.7119,625.4115,222.7819,140,807.2014,207.8663,946.1163,196.4686,0.4271
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,136.15,230.51,53.25,194.5047,719.1589,292.6869,129.5,782.5268,241.9483,826.5552,206.6948,0.4023
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,177.82,234.06,26,164.5138,1329.7615,186.422,95,1605.8875,181.9712,1716.1355,180.1941,0.2722
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,137.58,239.2,19,211.6538,1434.8846,234.8462,64.75,1422.0496,206.6794,1416.6086,194.7391,0.2834
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,188.47,240.27,50.5,221.5735,1654.0441,194.1912,124,1789.4377,186.0442,1883.3844,180.3912,0.3971
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,199.4,244.55,35.25,227.7622,300.993,208.1259,115.75,400.4387,193.3247,444.6025,186.7516,0.3067
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,PathCellObject,,242.05,248.5,41.5,385.5629,300.1258,210.8443,133.25,270.4503,188.4934,256.9099,178.2951,0.304
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 02).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,244.96,273.37,129.5,260.1843,392.8253,255.5221,274.25,630.1732,223.9371,844.8577,195.3681,0.4715
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 03).tif,PathCellObject,,124.02,80.94,32.25,216.5185,256.9704,180.8074,117,197.2153,168.2068,173.0629,163.1138,0.2804
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 03).tif,PathCellObject,,141.05,82.52,23.75,167.6526,227.0316,182.1684,86.75,229.8934,195.2507,230.9722,200.1825,0.2707
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 03).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,135.89,91.41,32.75,149.1579,388.0301,197.7519,97.75,363.0404,196.6439,350.403,196.0836,0.3313
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 03).tif,PathCellObject,,163.71,91.99,25.75,245.4623,173.3962,161.9811,102.25,142.6019,158.7136,131.9346,157.5817,0.2446
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 03).tif,PathCellObject,,141.67,99.22,71.75,181.3,269.2793,216.6345,165.5,275.8928,197.0121,281.0484,181.7151,0.4342
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 03).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,190.28,112.71,86.5,197.4062,691.321,241.2102,205.75,659.6155,208.3978,636.12,184.0821,0.4188
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 03).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,165.33,114.83,51.25,251.0825,463.1845,186.5631,144.75,476.9758,179.4093,484.5925,175.4585,0.3522
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 03).tif,PathCellObject,,149.67,123.33,30.25,369.6585,262.0488,178.3659,104,222.2356,173.262,205.5222,171.1195,0.2901
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 03).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,172.84,123.28,30.25,190.4194,457.0242,191.5081,88.75,443.3955,185.1922,436.2043,181.8596,0.3359
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 03).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,193.15,127.91,76.25,311.8,345.9803,243.2262,179,456.7892,206.4993,538.0312,179.5721,0.4197
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 03).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,168.41,131.32,41,254.2381,461.6131,213.3036,111.75,395.5469,187.3549,355.9071,171.7857,0.3594
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 03).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,213.72,135.36,136,282.1462,435.6472,297.1389,280,841.7191,255.059,1230.7233,214.7478,0.484
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 03).tif,PathCellObject,,151.75,133.56,34,148.3358,259.7372,172.3723,114.75,211.8568,168.7072,191.6111,167.1574,0.2927
